Farm ID,Year,Specie vegetale,Superficie coltivata,Ore uso macchina per ettaro
2812008020111000001,2014,Frumento duro,1.5,13.18
2812008020111000001,2015,Frumento duro,1.57,13.37
2812008020111000001,2016,Frumento duro,1.0,16.58
2812008020112000001,2008,Frumento duro,115.14,0.0
2812008020112000001,2009,Frumento duro,120.3,10.29
2812008020112000001,2010,Frumento duro,103.0,0.27
2812008020112000001,2011,Frumento duro,85.96,8.64
2812008020112000001,2012,Frumento duro,89.2,6.17
2812008020112000001,2013,Frumento duro,82.81,8.45
2812008020112000001,2014,Frumento duro,90.05,8.63
2812008020112000001,2015,Frumento duro,82.54,9.46
2812008020112000001,2016,Frumento duro,91.38,12.5
2812008020112000001,2017,Frumento duro,81.29,7.38
2812008020112000001,2018,Frumento duro,91.34,7.66
2812008020112000001,2019,Frumento duro,82.1,6.09
2812008020112000001,2020,Frumento duro,91.15,8.78
2812008020112000001,2021,Frumento duro,83.34,7.2
2812008020112000001,2022,Frumento duro,69.2,14.45
2812008020114000001,2008,Frumento duro,0.81,4.9
2812008020114000001,2009,Frumento duro,1.62,6.49
2812008020114000001,2011,Frumento duro,1.1,12.12
2812008020114000001,2013,Frumento duro,0.81,20.79
2812008020114000001,2015,Frumento duro,1.1,18.45
2812008020114000001,2017,Frumento duro,0.86,23.83
2812008020114000001,2019,Frumento duro,0.86,16.33
2812008020114000001,2021,Frumento duro,0.86,15.95
2812008020114000001,2022,Frumento duro,0.86,28.29
2812008020115000001,2008,Frumento duro,8.49,0.0
2812008020115000001,2009,Frumento duro,8.97,16.54
2812008020117000001,2008,Frumento duro,7.6,5.61
2812008020117000001,2009,Frumento duro,5.26,12.01
2812008020117000001,2010,Frumento duro,0.87,13.26
2812008020117000001,2011,Frumento duro,5.18,11.53
2812008020117000001,2012,Frumento duro,4.26,11.11
2812008020117000001,2013,Frumento duro,4.01,16.59
2812008020117000001,2014,Frumento duro,5.52,11.67
2812008020117000001,2015,Frumento duro,3.98,14.19
2812008020117000001,2016,Frumento duro,5.45,17.72
2812008020117000001,2017,Frumento duro,4.01,14.87
2812008020117000001,2018,Frumento duro,5.45,16.21
2812008020117000001,2019,Frumento duro,4.12,14.03
2812008020117000001,2020,Frumento duro,5.31,13.66
2812008020201000001,2008,Frumento duro,3.79,0.0
2812008020201000001,2009,Frumento duro,5.04,12.07
2812008020202000001,2008,Frumento duro,133.93,0.0
2812008020202000001,2009,Frumento duro,33.08,13.91
2812008020204000001,2008,Frumento duro,12.11,3.18
2812008020204000001,2009,Frumento duro,11.52,20.0
2812008020204000001,2010,Frumento duro,7.17,2.82
2812008020204000001,2011,Frumento duro,5.29,9.74
2812008020206000001,2008,Frumento duro,1.92,7.51
2812008020206000001,2009,Frumento duro,8.55,13.02
2812008020206000001,2010,Frumento duro,23.29,1.35
2812008020206000001,2011,Frumento duro,23.0,12.26
2812008020206000001,2012,Frumento duro,14.0,17.51
2812008020206000001,2013,Frumento duro,35.3,12.25
2812008020206000001,2014,Frumento duro,40.7,6.14
2812008020206000001,2015,Frumento duro,71.65,5.58
2812008020206000001,2016,Frumento duro,66.68,6.75
2812008020206000001,2017,Frumento duro,18.75,16.0
2812008020206000001,2018,Frumento duro,65.4,4.59
2812008020206000001,2019,Frumento duro,22.35,9.4
